X,Y,OBJECTID,SITE_ID,PI_NAME,ADDRESS,PI_NUMBER,LEAD,STATUS,REM_LEVEL,CEA_STATUS,CATEGORY,COUNTY
555183,837626.9998,9865,398611,128 MARGARET KING AVENUE,128 MARGARET KING AVE,606727,LSRP,Active,B,,1,Passaic
591810,783723,9866,398929,MIDLAND PARK SHOPPING CENTER,85 GODWIN AVE,665366,RAP,Active - RAP,,Ongoing,0,Bergen
402645,744329.0001,9867,399151,939 ROUTE 517,939 RT 517,499344,,Active,C1,,0,Warren
584906,686620,9868,399191,VA CONSTRUCTION COMPANY INC,403 - 409 ADAMS ST,499391,RAP,Active - RAP,,,0,Essex
608090.9999,680961.9998,9869,399286,OCEAN POINTE @ 460 OCEAN AVENUE,460 OCEAN AVE,499497,LSRP,Active,C2,,1,Hudson
608063.9999,681101.9999,9870,399293,OCEAN POINTE @ 461 OCEAN AVENUE,461 OCEAN AVE,499504,LSRP,Active,C1,,1,Hudson
562402,333120,9871,399463,31 VILLAGE DRIVE,31 VILLAGE DR,499727,,Active,C1,,0,Ocean
587216.54,695124.84,9872,399625,HARRISON BUILDING #3,300 ANGELO CIFELLI DR,782827,RAP,Active - RAP,,Ongoing,0,Hudson
531284.33,345994.8699,9873,399780,CEDAR BRIDGE TAVERN,210 OLD CEDAR BRIDGE RD,500118,RAP,Active - RAP,,Ongoing,0,Ocean
453687,517986,9874,399789,SOUTH POST ROAD GROUNDWATER CONTAM,S POST RD,500128,PUB FUNDED,Active,C3,,2,Mercer
620336,702068,9875,399808,1214 BERGENLINE AVENUE,1214 BERGENLINE AVE,500150,,Active,C1,,0,Hudson
637216,750966.9999,9876,399969,2 E PALISADES AVENUE,2 E PALISADES AVE,500333,,Active,C1,,0,Bergen
594391,455514,9877,400262,51 PLEASANT AVENUE,51 PLEASANT AVE,500682,,Active,C1,,0,Ocean
609902.9999,690571,9878,400479,ST PETERS COLLEGE,822 828 WEST SIDE AVE,501157,RAP,Active - RAP,,Ongoing,1,Hudson
606194.0001,758118.0001,9879,400570,13 SOMERVILLE STREET,13 SOMERVILLE ST,501269,UHOT,Active,C2,,0,Bergen
590943.813,746157.5781,9880,401088,FIVE GIRLS INC,196 200 PIAGET AVE,501908,LSRP,Active,C2,,1,Passaic
364071.0001,377253,9881,401093,43 LAFAYETTE LANE,43 LAFAYETTE LN,501913,,Active,C1,,0,Camden
471531,725779.0001,9882,401112,BURRINIS OLD WORLD MARKET,1204 SUSSEX TPKE,501937,,Active,C1,,0,Morris
584858.0001,763087,9883,401149,THE COPPERHOUSE,11 27 WARREN ST,501982,RAP,Active - RAP,C2,Ongoing,0,Passaic
554115.9999,682840,9884,401727,VAUXHALL ROAD & SWANSTROM PLACE,VAUXHALL RD & SWANSTROM PL,502662,PUB FUNDED,Active,C3,,2,Union
458818.9999,437122,9885,401844,WRIGHTSTOWN REDEVELOPMENT PROJECT,FORT DIX ST,502797,LSRP,Active,C2,Ongoing,1,Burlington
562686.0001,513843.0001,9886,401963,HALLS MILLS PARK LLC,125 HALLS MILLS RD,502934,RAP,Active - RAP,,Ongoing,0,Monmouth
498605,595986.9999,9887,85056,BRENNTAG NORTHEAST INC,990 JERSEY AVE,G000042387,RAP,Active - RAP,,,0,Middlesex
497997.9999,596688.0001,9888,85060,"MEPSCO MACHINE & TOOL, INCORPORATED",8 JULES LANE,G000042401,RAP,Active - RAP,,,0,Middlesex
550620,743583.9999,9889,85077,AM PHARM CORP,12 DWIGHT PLACE,G000042559,LSRP,Active,C2,,1,Essex
617253.9999,792110,9890,85088,319 KNICKERBOCKER AVENUE,319 KNICKERBOCKER AVE,G000042605,RAP,Active - RAP,C2,,0,Bergen
532897,717336.9999,9891,85095,DES CHAMPS LABS INCORPORATED,66 OKNER PARKWAY,G000042636,LSRP,Active,D,,3,Essex
588583.9998,749354.9999,9892,85102,UNITED PASSAIC GRAPHICS INCORPORATED,475 CROOKS AVENUE,G000042699,LSRP,Active,B,,1,Passaic
